index,x1,x2,label
0,0.65,0.39,0
1,1.71,-0.97,1
2,-0.34,0.23,1
3,-1.18,-0.83,0
4,1.77,-0.37,1
5,2.05,-0.24,1
6,0.89,0.57,0
7,0.88,-0.46,1
8,0.69,0.33,0
9,1.38,-0.8,1
10,-0.41,0.08,0
11,-0.11,-0.42,1
12,1.77,-0.58,1
13,1.73,0.17,1
14,-0.82,1.17,0
15,1.02,0.13,0
16,0.83,1.03,0
17,-0.16,-0.21,1
18,0.11,0.65,0
19,-1.31,1.59,0
20,2.29,0.0,1
21,0.88,-0.38,1
22,0.6,1.05,0
23,1.24,0.22,1
24,0.06,1.59,0
25,0.15,0.56,1
26,2.16,-0.13,1
27,1.75,-0.13,1
28,-0.31,0.31,1
29,-0.11,0.28,0
30,1.01,0.78,0
31,-0.61,-0.17,0
32,0.75,-0.22,1
33,-0.08,0.45,1
34,0.75,0.88,0
35,1.64,0.38,1
36,0.73,0.23,1
37,0.75,-0.09,0
38,-0.63,0.79,0
39,-0.46,0.68,1
40,0.75,-0.73,1
41,-0.01,0.81,0
42,0.48,0.56,0
43,0.23,-0.16,1
44,1.51,-0.39,1
45,-0.08,1.27,0
46,1.36,-0.22,0
47,-0.69,0.41,0
48,0.18,-0.58,1
49,1.35,-0.32,1
50,-1.16,0.98,0
51,0.69,-0.24,1
52,2.62,0.02,1
53,-0.25,0.01,0
54,1.47,-0.5,1
55,0.96,0.42,0
56,0.34,0.19,0
57,0.63,-0.69,1
58,-0.08,0.86,0
59,-0.23,1.09,0
60,-0.31,0.0,1
61,-1.16,0.64,0
62,1.36,-0.71,1
63,1.23,0.28,0
64,1.02,-0.28,1
65,-1.73,0.35,0
66,-0.27,1.19,0
67,1.82,-0.18,1
68,0.58,0.83,0
69,-1.08,0.85,0
70,0.57,-0.61,1
71,-1.22,1.28,0
72,-0.59,-0.77,1
73,-1.06,0.92,1
74,0.74,-0.03,1
75,-0.94,0.83,0
76,0.14,-0.04,1
77,1.09,0.27,0
78,0.27,0.97,0
79,0.7,0.27,1
80,2.34,0.1,1
81,-0.94,0.85,0
82,0.6,-0.95,1
83,2.11,0.95,1
84,-0.04,0.18,1
85,-0.17,1.76,0
86,0.65,-0.11,0
87,-0.64,1.02,0
88,0.7,-0.31,1
89,1.94,0.09,1
90,1.22,0.64,0
91,1.31,0.62,0
92,2.0,-0.29,1
93,-0.65,0.97,0
94,2.09,0.09,1
95,1.76,-0.09,1
96,1.82,-0.49,1
97,1.0,-0.39,1
98,-1.33,0.62,0
99,0.01,-0.28,1
100,1.54,-1.4,1
101,2.02,0.73,1
102,0.37,1.64,0
103,1.25,-0.19,0
104,-0.29,1.35,0
105,0.3,1.01,1
106,-0.96,-0.05,0
107,-0.68,1.42,0
108,1.68,-0.35,1
109,0.0,0.43,0
110,-0.62,0.72,0
111,0.19,1.19,0
112,-0.49,1.57,0
113,-0.51,0.18,0
114,1.0,0.21,0
115,1.96,-0.97,1
116,-0.37,0.63,0
117,2.14,0.4,1
118,0.75,-0.42,1
119,0.31,-0.07,0
120,0.75,1.12,0
121,-0.18,0.26,0
122,-0.3,0.08,1
123,0.32,0.99,0
124,-0.51,-0.12,1
125,-1.12,0.8,0
126,0.4,-0.33,0
127,0.54,0.27,1
128,0.69,-0.38,1
129,1.87,0.79,1
130,1.13,0.85,0
131,-0.46,0.27,0
132,-1.75,0.57,0
133,0.38,-0.4,1
134,1.5,0.12,1
135,1.39,0.5,1
136,0.83,0.12,1
137,-1.3,-0.03,0
138,2.15,0.53,1
139,0.53,0.73,0
140,-0.42,0.37,1
141,-0.11,0.71,1
142,0.46,1.3,0
143,-1.21,1.06,0
144,-0.2,0.9,0
145,1.13,0.31,0
146,0.49,0.74,1
147,1.1,-0.61,1
148,0.38,1.36,0
149,-0.13,-0.4,1
150,0.49,-0.51,1
151,1.7,-1.14,1
152,0.76,0.05,0
153,0.24,0.71,0
154,1.2,-0.24,1
155,-0.65,0.77,0
156,1.42,-0.49,1
157,0.1,0.49,1
158,0.9,1.42,0
159,0.73,0.78,0
160,0.58,-0.11,1
161,1.56,-0.56,1
162,0.95,0.87,0
163,1.36,-0.06,1
164,0.77,-1.16,1
165,1.16,0.42,1
166,0.11,0.9,0
167,0.3,-0.08,1
168,1.45,-0.59,1
169,1.08,-1.12,1
170,0.67,1.14,0
171,-1.57,0.21,0
172,-1.3,0.61,0
173,-0.35,-0.0,0
174,0.4,-0.05,1
175,0.88,-0.09,1
176,0.89,1.07,1
177,-0.76,0.24,0
178,-0.53,0.3,0
179,-0.1,0.82,0
180,1.49,-0.33,1
181,-1.21,0.28,0
182,1.85,0.35,1
183,2.38,-0.71,1
184,1.89,0.6,1
185,0.39,1.23,0
186,0.51,0.39,0
187,1.24,-0.96,1
188,-0.52,0.54,0
189,-0.79,0.76,0
190,-0.94,0.5,0
191,0.49,1.09,0
192,0.97,-0.04,0
193,0.8,0.2,0
194,-0.16,0.15,1
195,-0.6,0.93,0
196,1.23,-0.0,1
197,0.41,0.04,1
198,0.44,1.09,0
199,1.39,0.0,1
